Spørgsmål,Svarmuligheder,Operationalisering (cut-points),Group
1. Hvor gammel er du (i antal år)?,,,
2. Hvad er din relation til den hjertesyge?,Jeg er ægtefælle eller partner,,
2. Hvad er din relation til den hjertesyge?,Jeg er søn/datter,,
2. Hvad er din relation til den hjertesyge?,Jeg er forælder,,
2. Hvad er din relation til den hjertesyge?,Jeg er bror/søster,,
2. Hvad er din relation til den hjertesyge?,Jeg er anden familie,,
2. Hvad er din relation til den hjertesyge?,"Jeg har en anden relation til den hjertesyge (fx nabo, ven/veninde, kollega e.l.)",,
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Praktisk hjælp (transport, indkøb, madlavning, oprydning, rengøring o.l.) ",Slet ikke,2,
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Praktisk hjælp (transport, indkøb, madlavning, oprydning, rengøring o.l.) ",Lidt,1,Hjalp med: Praktisk hjælp 
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Praktisk hjælp (transport, indkøb, madlavning, oprydning, rengøring o.l.) ",En del,1,Hjalp med: Praktisk hjælp 
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Praktisk hjælp (transport, indkøb, madlavning, oprydning, rengøring o.l.) ",Meget,1,Hjalp med: Praktisk hjælp 
"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Praktisk hjælp (transport, indkøb, madlavning, oprydning, rengøring o.l.) ",Ikke relevant,3,
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Personlig pleje,Slet ikke,2,
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Personlig pleje,Lidt,1,Hjalp med: Personlig pleje
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Personlig pleje,En del,1,Hjalp med: Personlig pleje
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Personlig pleje,Meget,1,Hjalp med: Personlig pleje
3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Personlig pleje,Ikke relevant,3,
