Spørgsmål,Svarmuligheder,Operationalisering (cut-points),Group
1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds,Åreforsnævring i hjertet,,
1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds,Hjertesvigt,,
1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds,Atrieflimren/-flagren,,
1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds,Hjerteklapsygdom,,
1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds,Anden hjertesygdom,,
1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds,Jeg har ikke fået en hjertesygdom i 2018,,
1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds,,,
"2. Fik du oplysninger på en kontaktperson på de sygehusafdelinger, som du var i kontakt med? Hvis du kun var i kontakt med én afdeling, kryds da af i ""Ja, på alle afdelinger""","Ja, på alle afdelinger",0,"Ja, på nogle/alle afdelinger"
"2. Fik du oplysninger på en kontaktperson på de sygehusafdelinger, som du var i kontakt med? Hvis du kun var i kontakt med én afdeling, kryds da af i ""Ja, på alle afdelinger""","Ja, på nogle afdelinger",0,"Ja, på nogle/alle afdelinger"
"2. Fik du oplysninger på en kontaktperson på de sygehusafdelinger, som du var i kontakt med? Hvis du kun var i kontakt med én afdeling, kryds da af i ""Ja, på alle afdelinger""","Nej, på ingen afdelinger",1,"Nej, på ingen afdelinger"
3. Var du tryg ved at komme hjem fra sygehuset efter (din første) indlæggelse for din hjertesygdom i 2018?,"Ja, i høj grad",0,I nogen grad/i høj grad
3. Var du tryg ved at komme hjem fra sygehuset efter (din første) indlæggelse for din hjertesygdom i 2018?,"Ja, i nogen grad",0,I nogen grad/i høj grad
3. Var du tryg ved at komme hjem fra sygehuset efter (din første) indlæggelse for din hjertesygdom i 2018?,I mindre grad,1,I mindre grad/slet ikke
3. Var du tryg ved at komme hjem fra sygehuset efter (din første) indlæggelse for din hjertesygdom i 2018?,"Nej, slet ikke",1,I mindre grad/slet ikke
3. Var du tryg ved at komme hjem fra sygehuset efter (din første) indlæggelse for din hjertesygdom i 2018?,Ved ikke,2,Ved ikke
3. Var du tryg ved at komme hjem fra sygehuset efter (din første) indlæggelse for din hjertesygdom i 2018?,Jeg har ikke været indlagt på grund af min hjertesygdom,3,Jeg har ikke været indlagt på grund af min hjertesygdom
4. Har du på nuværende tidspunkt helt afsluttet din kontakt til sygehuset?  Med 'kontakt til sygehuset' tænkes både på indlæggelse og ambulant behandling (inkl. kontrol) i forbindelse med din hjertesygdom.,Ja,,
4. Har du på nuværende tidspunkt helt afsluttet din kontakt til sygehuset?  Med 'kontakt til sygehuset' tænkes både på indlæggelse og ambulant behandling (inkl. kontrol) i forbindelse med din hjertesygdom.,Nej,,
