"strat_level" "count" "percent" "strat" "item" "response" "mean" "patient_data" "Kon" "Alder"
"Anden" 316 36.8 "Sygdom" "s_7" "Nej, på ingen afdelinger" NA TRUE NA NA
"Anden" 119 13.8 "Sygdom" "s_9" "I mindre grad/slet ikke" NA TRUE NA NA
"Anden" 205 24 "Sygdom" "s_227" "I mindre grad/slet ikke" NA TRUE NA NA
"Anden" 172 20.4 "Sygdom" "s_162" "I mindre grad/slet ikke" NA TRUE NA NA
"Anden" 89 13 "Sygdom" "s_229" "I mindre grad/slet ikke" NA TRUE NA NA
"Anden" 175 21.4 "Sygdom" "s_238" "I mindre grad/slet ikke" NA TRUE NA NA
"Anden" 69 12 "Sygdom" "s_66" "I mindre grad/slet ikke" NA TRUE NA NA
"Anden" 177 21.4 "Sygdom" "s_49" "I nogen grad/i høj grad" NA TRUE NA NA
"Anden" 39 27.9 "Sygdom" "s_89" "I mindre grad/slet ikke" NA TRUE NA NA
"Anden" 210 25.8 "Sygdom" "s_130" "Dårligt / Mindre godt" NA TRUE NA NA
"Anden" 146 17.7 "Sygdom" "s_266" "I mindre grad/slet ikke" NA TRUE NA NA
"Anden" 140 17 "Sygdom" "s_267" "Ja" NA TRUE NA NA
"Anden" 52 6.3 "Sygdom" "t_ils_hi_score" "T-ILS score >=7" NA TRUE NA NA
"Anden" 46 5.7 "Sygdom" "hads_anxiety" "HADS anxiety >=11" NA TRUE NA NA
"Anden" 47 5.9 "Sygdom" "hads_depression" "HADS depression >=11" NA TRUE NA NA
"Anden" 215 26.2 "Sygdom" "who5" "WHO-1 <50" NA TRUE NA NA
"Anden" NA NA "Sygdom" "hq_score_physical" NA 2.1 TRUE NA NA
"Anden" NA NA "Sygdom" "hq_score_emotional" NA 2.4 TRUE NA NA
"Atrieflimren" 1255 33.2 "Sygdom" "s_7" "Nej, på ingen afdelinger" NA TRUE NA NA
"Atrieflimren" 501 13.2 "Sygdom" "s_9" "I mindre grad/slet ikke" NA TRUE NA NA
"Atrieflimren" 809 21.5 "Sygdom" "s_227" "I mindre grad/slet ikke" NA TRUE NA NA
"Atrieflimren" 634 17 "Sygdom" "s_162" "I mindre grad/slet ikke" NA TRUE NA NA
"Atrieflimren" 434 13.6 "Sygdom" "s_229" "I mindre grad/slet ikke" NA TRUE NA NA
"Atrieflimren" 970 26.9 "Sygdom" "s_238" "I mindre grad/slet ikke" NA TRUE NA NA
"Atrieflimren" 315 13.5 "Sygdom" "s_66" "I mindre grad/slet ikke" NA TRUE NA NA
"Atrieflimren" 720 19.8 "Sygdom" "s_49" "I nogen grad/i høj grad" NA TRUE NA NA
"Atrieflimren" 232 40.4 "Sygdom" "s_89" "I mindre grad/slet ikke" NA TRUE NA NA
"Atrieflimren" 918 25.4 "Sygdom" "s_130" "Dårligt / Mindre godt" NA TRUE NA NA
"Atrieflimren" 615 17.1 "Sygdom" "s_266" "I mindre grad/slet ikke" NA TRUE NA NA
"Atrieflimren" 656 18.2 "Sygdom" "s_267" "Ja" NA TRUE NA NA
"Atrieflimren" 124 3.4 "Sygdom" "t_ils_hi_score" "T-ILS score >=7" NA TRUE NA NA
"Atrieflimren" 225 6.3 "Sygdom" "hads_anxiety" "HADS anxiety >=11" NA TRUE NA NA
"Atrieflimren" 168 4.7 "Sygdom" "hads_depression" "HADS depression >=11" NA TRUE NA NA
"Atrieflimren" 981 27.3 "Sygdom" "who5" "WHO-1 <50" NA TRUE NA NA
"Atrieflimren" NA NA "Sygdom" "hq_score_physical" NA 2.1 TRUE NA NA
"Atrieflimren" NA NA "Sygdom" "hq_score_emotional" NA 2.3 TRUE NA NA
"Grundskole" 798 28.1 "Uddannelsesniveau" "s_7" "Nej, på ingen afdelinger" NA TRUE NA NA
"Grundskole" 390 13.7 "Uddannelsesniveau" "s_9" "I mindre grad/slet ikke" NA TRUE NA NA
"Grundskole" 407 14.4 "Uddannelsesniveau" "s_227" "I mindre grad/slet ikke" NA TRUE NA NA
"Grundskole" 557 19.8 "Uddannelsesniveau" "s_162" "I mindre grad/slet ikke" NA TRUE NA NA
"Grundskole" 297 12.6 "Uddannelsesniveau" "s_229" "I mindre grad/slet ikke" NA TRUE NA NA
"Grundskole" 509 18.8 "Uddannelsesniveau" "s_238" "I mindre grad/slet ikke" NA TRUE NA NA
"Grundskole" 202 10.4 "Uddannelsesniveau" "s_66" "I mindre grad/slet ikke" NA TRUE NA NA
"Grundskole" 522 19.3 "Uddannelsesniveau" "s_49" "I nogen grad/i høj grad" NA TRUE NA NA
"Grundskole" 99 31.7 "Uddannelsesniveau" "s_89" "I mindre grad/slet ikke" NA TRUE NA NA
"Grundskole" 761 28.4 "Uddannelsesniveau" "s_130" "Dårligt / Mindre godt" NA TRUE NA NA
"Grundskole" 493 18.3 "Uddannelsesniveau" "s_266" "I mindre grad/slet ikke" NA TRUE NA NA
"Grundskole" 463 17.2 "Uddannelsesniveau" "s_267" "Ja" NA TRUE NA NA
"Grundskole" 167 6.3 "Uddannelsesniveau" "t_ils_hi_score" "T-ILS score >=7" NA TRUE NA NA
"Grundskole" 187 7.2 "Uddannelsesniveau" "hads_anxiety" "HADS anxiety >=11" NA TRUE NA NA
