person_type,topic,question,stratification_level,stratification_value_1,stratification_value_2,value
patient,physical,a1,age_sex,male,65+,24.6064061
patient,physical,a1,age_sex,male,45-65,14.23959182
patient,physical,a1,age_sex,female,65+,83.6582266
patient,physical,a1,age_sex,female,45-65,6.182127659
patient,physical,a2,age_sex,male,65+,28.62793872
patient,physical,a2,age_sex,male,45-65,44.69519877
patient,physical,a2,age_sex,female,65+,14.35857232
patient,physical,a2,age_sex,female,45-65,0.825496621
patient,emotion,b1,age_sex,male,65+,11.18043223
patient,emotion,b1,age_sex,male,45-65,44.65421035
patient,emotion,b1,age_sex,female,45-65,67.75131958
patient,emotion,b1,age_sex,female,65+,49.99414896
patient,physical,a1,region,hovd,NA,69.05301644
patient,physical,a1,region,syd,NA,75.07447681
patient,physical,a1,region,midt,NA,47.3522991
patient,physical,a1,region,nord,NA,21.93795952
paaroerende,physical,a1,region,hovd,NA,69.05301644
paaroerende,physical,a1,region,syd,NA,75.07447681
paaroerende,physical,a1,region,midt,NA,47.3522991
paaroerende,physical,a1,region,nord,NA,21.93795952
paaroerende,caring,a1,region,hovd,NA,69.05301644
paaroerende,caring,a1,region,syd,NA,75.07447681
paaroerende,caring,a1,region,midt,NA,47.3522991
paaroerende,caring,a1,region,nord,NA,21.93795952
paaroerende,caring,c1,region,hovd,NA,69.05301644
paaroerende,caring,c1,region,syd,NA,75.07447681
paaroerende,caring,c1,region,midt,NA,47.3522991
paaroerende,caring,c1,region,nord,NA,21.93795952
paaroerende,caring,c1,diag,AF,NA,69.05301644
paaroerende,caring,c1,diag,HF,NA,75.07447681
paaroerende,caring,c1,diag,IHS,NA,47.3522991
paaroerende,caring,c1,diag,ACD,NA,21.93795952
patient,physical,a1,edu,low,NA,69.05301644
patient,physical,a1,edu,mid-low,NA,75.07447681
patient,physical,a1,edu,mid-high,NA,47.3522991
patient,physical,a1,edu,high,NA,21.93795952
patient,physical,a1,diag,AF,NA,69.05301644
patient,physical,a1,diag,HF,NA,75.07447681
patient,physical,a1,diag,IHS,NA,47.3522991
patient,physical,a1,diag,ACD,NA,21.93795952
