"question" "group" "Questionnaire no." "value" "label" "group_label" "display" "non_strat_cutpoints" "stratified" "person_type" "type"
"hads_anxiety" "0" NA "0" "0" "HADS anxiety 0 - 7" "0" "1" "1" "pat" "no_cutpoints"
"hads_anxiety" "1" NA "1" "2" "HADS anxiety 8 - 10" "0" "1" "1" "pat" "no_cutpoints"
"hads_anxiety" "2" NA "2" "1" "HADS anxiety >=11" "1" "1" "1" "pat" "no_cutpoints"
"hads_depression" "0" NA "0" "0" "HADS depression 0 - 7" "0" "1" "1" "pat" "no_cutpoints"
"hads_depression" "1" NA "1" "2" "HADS depression 8 - 10" "0" "1" "1" "pat" "no_cutpoints"
"hads_depression" "2" NA "2" "1" "HADS depression >=11" "1" "1" "1" "pat" "no_cutpoints"
"s_10" "1" "4" "1" "Ja" "Ja" "0" NA "0" "pat" "no_cutpoints"
"s_10" "2" "4" "2" "Nej" "Nej" "0" NA "0" "pat" "no_cutpoints"
"s_10" "3" "4" "3" "Ved ikke" "Ved ikke" "0" NA "0" "pat" "no_cutpoints"
"s_100" "1" "22f" "1" "Ja" "Tilskud til medicin" "1" "1" "1" "pat" "no_cutpoints"
"s_100" "0" "22f" "2" "Nej" "Nej" "0" "1" "1" "pat" "no_cutpoints"
"s_100" "2" "22f" "3" "Jeg har ikke ansøgt/ikke relevant" "Jeg har ikke ansøgt/ikke relevant" "2" "1" "1" "pat" "no_cutpoints"
"s_101" "1" "22g" "1" "Ja" "Tilskud til psykolog" "1" "1" "1" "pat" "no_cutpoints"
"s_101" "0" "22g" "2" "Nej" "Nej" "0" "1" "1" "pat" "no_cutpoints"
"s_101" "2" "22g" "3" "Jeg har ikke ansøgt/ikke relevant" "Jeg har ikke ansøgt/ikke relevant" "2" "1" "1" "pat" "no_cutpoints"
"s_102" "1" "22h" "1" "Ja" "Ansøgning om merudgifter på grund af nedsat fysisk/psykisk funktionsevne" "1" "1" "1" "pat" "no_cutpoints"
"s_102" "0" "22h" "2" "Nej" "Nej" "0" "1" "1" "pat" "no_cutpoints"
"s_102" "2" "22h" "3" "Jeg har ikke ansøgt/ikke relevant" "Jeg har ikke ansøgt/ikke relevant" "2" "1" "1" "pat" "no_cutpoints"
"s_11" "1" "4.1" "1" "Ja, i høj grad" "Ja, i høj grad" "1" "1" "1" "pat" "no_cutpoints"
"s_11" "2" "4.1" "2" "Ja, i nogen grad" "Ja, i nogen grad" "2" "1" "1" "pat" "no_cutpoints"
"s_11" "3" "4.1" "3" "I mindre grad" "I mindre grad" "3" "1" "1" "pat" "no_cutpoints"
"s_11" "4" "4.1" "5" "Nej, slet ikke" "Nej, slet ikke" "4" "1" "1" "pat" "no_cutpoints"
"s_11" "5" "4.1" "4" "Ved ikke" "Ved ikke" "5" "1" "1" "pat" "no_cutpoints"
"s_11" "6" "4.1" "6" "Jeg blev ikke behandlet ambulant" "Jeg blev ikke behandlet ambulant" "6" "1" "1" "pat" "no_cutpoints"
"s_111" "3" "23a" "1" "Nej" "" "3" "1" "1" "pat" "no_cutpoints"
"s_111" "2" "23a" "2" "Lidt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_111" "1" "23a" "3" "En del" "" "1" "1" "1" "pat" "no_cutpoints"
"s_111" "0" "23a" "4" "Meget" "" "0" "1" "1" "pat" "no_cutpoints"
"s_112" "3" "23b" "1" "Nej" "" "3" "1" "1" "pat" "no_cutpoints"
"s_112" "2" "23b" "2" "Lidt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_112" "1" "23b" "3" "En del" "" "1" "1" "1" "pat" "no_cutpoints"
"s_112" "0" "23b" "4" "Meget" "" "0" "1" "1" "pat" "no_cutpoints"
"s_113" "3" "23c" "1" "Nej" "" "3" "1" "1" "pat" "no_cutpoints"
"s_113" "2" "23c" "2" "Lidt" "" "2" "1" "1" "pat" "no_cutpoints"
"s_113" "1" "23c" "3" "En del" "" "1" "1" "1" "pat" "no_cutpoints"
