question,group,Questionnaire no.,value,label,group_label,display,non_strat_cutpoints,stratified
hads_anxiety,0,NA,0,0,HADS anxiety 0 - 7,0,1,1
hads_anxiety,1,NA,1,2,HADS anxiety 8 - 10,0,1,1
hads_anxiety,2,NA,2,1,HADS anxiety >=11,1,1,1
hads_depression,0,NA,0,0,HADS depression 0 - 7,0,1,1
hads_depression,1,NA,1,2,HADS depression 8 - 10,0,1,1
hads_depression,2,NA,2,1,HADS depression >=11,1,1,1
s_10,1,3g,1,Slet ikke,Slet ikke,0,NA,0
s_10,2,3g,2,Lidt,Lidt,0,NA,0
s_10,3,3g,3,En del,En del,0,NA,0
s_10,4,3g,4,Meget,Meget,0,NA,0
s_10,5,3g,5,Ikke relevant,Ikke relevant,0,NA,0
s_104,1,3h,1,Slet ikke,Slet ikke,0,NA,0
s_104,2,3h,2,Lidt,Lidt,0,NA,0
s_104,3,3h,3,En del,En del,0,NA,0
s_104,4,3h,4,Meget,Meget,0,NA,0
s_104,5,3h,5,Ikke relevant,Ikke relevant,0,NA,0
s_107,1,3i,1,Slet ikke,Slet ikke,0,NA,0
s_107,2,3i,2,Lidt,Lidt,0,NA,0
s_107,3,3i,3,En del,En del,0,NA,0
s_107,4,3i,4,Meget,Meget,0,NA,0
s_107,5,3i,5,Ikke relevant,Ikke relevant,0,NA,0
s_109,1,4.1,1,"Den hjertesyge forventede eller ønskede, at jeg påtog mig en større rolle, end jeg selv ønskede","Den hjertesyge forventede eller ønskede, at jeg påtog mig en større rolle, end jeg selv ønskede",0,NA,0
s_109,2,4.1,2,"Jeg ønskede en større rolle, end den hjertesyge tillod","Jeg ønskede en større rolle, end den hjertesyge tillod",0,NA,0
s_110,3,18f,1,"Ja, jeg blev tilbudt...","Ja, jeg blev tilbudt...",0,1,0
s_110,0,18f,2,"Ja, og jeg tog imod...","Ja, og jeg tog imod...",0,1,0
s_110,1,18f,3,"Nej, men jeg havde behov for...",Individuel samtale med anden pårørende,1,1,0
s_110,2,18f,5,Ved ikke/ikke relevant,Ved ikke/ikke relevant,0,1,0
s_112,0,20.3,3,"Nej, aldrig","Nej, aldrig",0,NA,1
s_112,1,20.3,2,"Ja, én enkelt gang","Ja, én enkelt gang / flere gange / jeg har været langtidssygemeldt (mere end 30 dage)",1,NA,1
s_114,1,3.1,1,I høj grad,I nogen grad/i høj grad,1,NA,0
s_114,0,3.1,3,I mindre grad,I mindre grad,0,NA,0
s_114,2,3.1,5,Ved ikke/ikke relevant,Ved ikke/ikke relevant,0,NA,0
s_123,1,16.1,1,Mere end jeg havde lyst til,Mere end jeg havde lyst til,0,NA,0
s_123,2,16.1,2,Mindre end jeg havde lyst til,Mindre end jeg havde lyst til,0,NA,0
s_124,0,18.1a,1,Særdeles god,Særdeles god / Overvejende god,0,1,0
s_124,1,18.1a,3,Hverken god eller dårlig,Samtaler med en psykolog,1,1,0
s_124,3,18.1a,5,Ved ikke,Ved ikke,0,1,0
s_125,0,18.1b,1,Særdeles god,Særdeles god / Overvejende god,0,1,0
s_125,1,18.1b,3,Hverken god eller dårlig,Samtalegrupper med andre pårørende,1,1,0
s_125,3,18.1b,5,Ved ikke,Ved ikke,0,1,0
s_126,0,18.1c,1,Særdeles god,Særdeles god / Overvejende god,0,1,0
s_126,1,18.1c,3,Hverken god eller dårlig,Samtaler med socialrådgiver,1,1,0
s_126,3,18.1c,5,Ved ikke,Ved ikke,0,1,0
s_127,0,18.1d,1,Særdeles god,Særdeles god / Overvejende god,0,1,0
s_127,1,18.1d,3,Hverken god eller dårlig,"Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m.",1,1,0
s_127,3,18.1d,5,Ved ikke,Ved ikke,0,1,0
s_128,0,18.1e,1,Særdeles god,Særdeles god / Overvejende god,0,1,0
s_128,1,18.1e,3,Hverken god eller dårlig,Aflastning ift. praktiske opgaver,1,1,0
s_128,3,18.1e,5,Ved ikke,Ved ikke,0,1,0
s_129,0,18.1f,1,Særdeles god,Særdeles god / Overvejende god,0,1,0
s_129,1,18.1f,3,Hverken god eller dårlig,Individuel samtale med andre pårørende,1,1,0
s_129,3,18.1f,5,Ved ikke,Ved ikke,0,1,0
s_134,2,49.1,2,Kvinde,Kvinde,0,NA,0
s_134,1,49.1,1,Mand,Mand,0,NA,0
s_135,1,49.2,1,7 eller færre års skolegang,7 eller færre års skolegang,0,NA,0
s_135,2,49.2,2,8-9 års skolegang,8-9 års skolegang,0,NA,0
