questionName ,variableName,questionType,subType,questionText,choiceValue,choiceText,include_database,include_report,stratified,question_group,converted_binary,question_number,question_integer,sort_order
s_80,s_80,Open,Double,1. Hvor gammel er du (i antal år)?,NA,,1,0,0,,NA,1,1,1
s_3,s_3,Closed,Single,2. Hvad er din relation til den hjertesyge?,NA,,1,1,0,,NA,2,2,2
s_4,s_4,Closed,Single,"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Praktisk hjælp (transport, indkøb, madlavning, oprydning, rengøring o.l.)",NA,,1,1,0,,NA,3,3,3
s_5,s_5,Closed,Single,3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Personlig pleje,NA,,1,1,0,,NA,3,3,4
s_6,s_6,Closed,Single,"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Psykisk støtte (samtaler, samvær, ledsagelse til behandling m.v.)",NA,,1,1,0,,NA,3,3,5
s_7,s_7,Closed,Single,"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - Sunde vaner (sund mad, motion, rygestop eller et lavere indtag af alkohol)",NA,,1,1,0,,NA,3,3,6
s_8,s_8,Closed,Single,"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At deltage i patientsamtaler, undersøgelser eller behandling fx på sygehus, hos egen læge eller i kommunen",NA,,1,1,0,,NA,3,3,7
s_9,s_9,Closed,Single,3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde styr på den hjertesyges aftaler og undersøgelser,NA,,1,1,0,,NA,3,3,8
s_10,s_10,Closed,Single,3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At holde styr på medicin,NA,,1,1,0,,NA,3,3,9
s_104,s_104,Closed,Single,"3. Hvilke opgaver hjalp du den hjertesyge med i forbindelse med hjertesygdommen? Sæt ét kryds i hver linje - At tilse, overvåge eller være i nærheden af den hjertesyge",NA,,1,1,0,,NA,3,3,10
