questionName,variableName,questionType,subType,questionText,choiceValue,choiceText,include_database,include_report,stratified,short_name,Sidsel,question_group,converted_binary,question_number,question_integer,sort_order
s_1,s_1_1,Closed,Multiple,1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds,2,Åreforsnævring i hjertet,1,1,0,Åreforsnævring,1,,NA,1.,1,1
s_1,s_1_2,Closed,Multiple,1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds,3,Hjertesvigt,1,1,0,Hjertesvigt,1,,NA,1.,1,2
s_1,s_1_3,Closed,Multiple,1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds,4,Atrieflimren/-flagren,1,1,0,Atrieflimren,1,,NA,1.,1,3
s_1,s_1_4,Closed,Multiple,1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds,5,Hjerteklapsygdom,1,1,0,Hjerteklapsygdom,1,,NA,1.,1,4
s_1,s_1_5,Closed,Multiple,1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds,6,Anden hjertesygdom,1,1,0,Anden,1,,NA,1.,1,5
s_1,s_1_6,Closed,Multiple,1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds,7,Jeg har ikke fået en hjertesygdom i 2018,1,1,0,,1,,NA,1.,1,6
s_2,s_2,Open,String,"1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds - Anden hjertesygdom, hvilken?",NA,,1,0,0,,1,,NA,1.,1,7
s_7,s_7,Closed,Single,"2. Fik du oplysninger på en kontaktperson på de sygehusafdelinger, som du var i kontakt med? Hvis du kun var i kontakt med én afdeling, kryds da af i \\Ja, på alle afdelinger\\",NA,,1,1,1,,1,,NA,2.,2,8
s_9,s_9,Closed,Single,3. Var du tryg ved at komme hjem fra sygehuset efter (din første) indlæggelse for din hjertesygdom i 2018?,NA,,1,1,1,,0,,NA,3.,3,9
s_10,s_10,Closed,Single,4. Har du på nuværende tidspunkt helt afsluttet din kontakt til sygehuset?  Med 'kontakt til sygehuset' tænkes både på indlæggelse og ambulant behandling (inkl. kontrol) i forbindelse med din hjertesygdom.,NA,,1,0,0,,0,,NA,4.,4,10
s_11,s_11,Closed,Single,4.1 Var du tryg ved at afslutte din ambulante kontakt til sygehuset?  Med 'ambulant kontakt' menes både ambulant behandling og kontrol.,NA,,1,0,0,,0,,NA,4.1,4,11
s_12,s_12,Closed,Single,"4.2 Vidste du, hvad der skulle ske i dit videre forløb, da du afsluttede din kontakt til sygehuset? F.eks. om du skulle kontakte egen længe, om du ville få indkaldelse fra kommunen osv.",NA,,1,0,0,,0,,NA,4.2,4,12
