"questionName" "variableName" "questionType" "subType" "questionText" "choiceValue" "choiceText" "include_database" "include_report" "stratified" "short_name" "Sidsel" "question_group" "converted_binary" "question_name_short" "question_number" "question_integer" "sort_order" "person_type"
"s_1" "s_1_1" "Closed" "Multiple" "1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds" "2" "Åreforsnævring i hjertet" "1" "1" "0" "Åreforsnævring" "1" "" NA "Hjertesygdom" "1." "1" 1 "pat"
"s_1" "s_1_2" "Closed" "Multiple" "1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds" "3" "Hjertesvigt" "1" "1" "0" "Hjertesvigt" "1" "" NA "Hjertesygdom" "1." "1" 2 "pat"
"s_1" "s_1_3" "Closed" "Multiple" "1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds" "4" "Atrieflimren/-flagren" "1" "1" "0" "Atrieflimren" "1" "" NA "Hjertesygdom" "1." "1" 3 "pat"
"s_1" "s_1_4" "Closed" "Multiple" "1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds" "5" "Hjerteklapsygdom" "1" "1" "0" "Hjerteklapsygdom" "1" "" NA "Hjertesygdom" "1." "1" 4 "pat"
"s_1" "s_1_5" "Closed" "Multiple" "1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds" "6" "Anden hjertesygdom" "1" "1" "0" "Anden" "1" "" NA "Hjertesygdom" "1." "1" 5 "pat"
"s_1" "s_1_6" "Closed" "Multiple" "1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds" "7" "Jeg har ikke fået en hjertesygdom i 2018" "1" "1" "0" "" "1" "" NA "Hjertesygdom" "1." "1" 6 "pat"
"s_2" "s_2" "Open" "String" "1. Hvilken af følgende hjertesygdomme fik du diagnosticeret i 2018?  Sæt evt. flere kryds - Anden hjertesygdom, hvilken?" NA "" "1" "0" "0" "" "1" "" NA "Hjertesygdom" "1." "1" 7 "pat"
"s_7" "s_7" "Closed" "Single" "2. Fik du oplysninger på en kontaktperson på de sygehusafdelinger, som du var i kontakt med? Hvis du kun var i kontakt med én afdeling, kryds da af i \"\"Ja, på alle afdelinger\"\"" NA "" "1" "1" "1" "" "1" "" NA "Ingen kontaktperson" "2." "2" 8 "pat"
"s_9" "s_9" "Closed" "Single" "3. Var du tryg ved at komme hjem fra sygehuset efter (din første) indlæggelse for din hjertesygdom i 2018?" NA "" "1" "1" "1" "" "0" "" NA "Utryg ved at komme hjem" "3." "3" 9 "pat"
"s_10" "s_10" "Closed" "Single" "4. Har du på nuværende tidspunkt helt afsluttet din kontakt til sygehuset?  Med 'kontakt til sygehuset' tænkes både på indlæggelse og ambulant behandling (inkl. kontrol) i forbindelse med din hjertesygdom." NA "" "1" "0" "0" "" "0" "" NA "Afsluttet kontakt" "4." "4" 10 "pat"
"s_11" "s_11" "Closed" "Single" "4.1 Var du tryg ved at afslutte din ambulante kontakt til sygehuset?  Med 'ambulant kontakt' menes både ambulant behandling og kontrol." NA "" "1" "0" "0" "" "0" "" NA "Utryg ved at afslutte forløb" "4.1" "4" 11 "pat"
"s_12" "s_12" "Closed" "Single" "4.2 Vidste du, hvad der skulle ske i dit videre forløb, da du afsluttede din kontakt til sygehuset? F.eks. om du skulle kontakte egen længe, om du ville få indkaldelse fra kommunen osv." NA "" "1" "0" "0" "" "0" "" NA "Vidste ikke, hvad der skulle ske" "4.2" "4" 12 "pat"
"s_227" "s_227" "Closed" "Single" "5. Oplevede du, at der hele tiden var en sygeplejerske på sygehuset, som havde overblik over udredning eller behandling af din hjertesygdom" NA "" "1" "1" "1" "" "0" "" NA "Intet overblik" "5." "5" 13 "pat"
"s_17" "s_17_1" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "1" "Astma" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 14 "pat"
"s_17" "s_17_2" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "2" "Allergi (ikke astma)" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 15 "pat"
"s_17" "s_17_3" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "3" "Sukkersyge (diabetes)" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 16 "pat"
"s_17" "s_17_4" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "4" "Forhøjet blodtryk" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 17 "pat"
"s_17" "s_17_5" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "5" "Hjerneblødning, blodprop i hjernen" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 18 "pat"
"s_17" "s_17_6" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "6" "Kronisk bronkitis, for store lunger, rygerlunger (emfysem, KOL)" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 19 "pat"
"s_17" "s_17_7" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "7" "Slidgigt" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 20 "pat"
"s_17" "s_17_8" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "8" "Leddegigt" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 21 "pat"
"s_17" "s_17_9" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "9" "Knogleskørhed (Osteoporose)" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 22 "pat"
"s_17" "s_17_10" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "10" "Kræft" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 23 "pat"
"s_17" "s_17_11" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "11" "Migræne eller hyppig hovedpine" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 24 "pat"
"s_17" "s_17_12" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "12" "Angst" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 25 "pat"
"s_17" "s_17_13" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "13" "Depression" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 26 "pat"
"s_17" "s_17_14" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "14" "Diskusprolaps eller andre rygsygdomme" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 27 "pat"
"s_17" "s_17_15" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "15" "Anden længerevarende sygdom:" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 28 "pat"
"s_17" "s_17_16" "Closed" "Multiple" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds" "16" "Jeg har ikke haft andre længerevarende sygdomme" "1" "1" "0" "" "1" "" NA "Anden sygdom" "6." "6" 29 "pat"
"s_228" "s_228" "Open" "String" "6. Har du, eller har du haft, én eller flere af følgende længerevarende sygdomme samtidig med din hjertesygdom?  Sæt gerne flere kryds - Anden længerevarende sygdom:" NA "" "1" "0" "0" "" "1" "" NA "Anden sygdom" "6." "6" 30 "pat"
"s_18" "s_18" "Closed" "Single" "6.1. Tog man på sygehuset hensyn til dine andre sygdomme i forbindelse med, at du blev behandlet for din hjertesygdom?" NA "" "1" "0" "0" "" "0" "" NA "Intet hensyn til anden sygdom" "6.1." "6" 31 "pat"
"s_162" "s_162" "Closed" "Single" "7. Spurgte sundhedspersonalet ind til dine egne erfaringer med din sygdom/tilstand? 'Erfaringer med din sygdom' kan f.eks. være symptomer, tegn eller konsekvenser." NA "" "1" "1" "1" "" "0" "" NA "Ikke spurgt til egne erfaringer" "7." "7" 32 "pat"
"s_164" "s_164" "Closed" "Single" "8. Var du med på råd, når der blev truffet beslutninger om det, der skulle ske? Det kunne f.eks. være, når der skulles tages beslutninger om undersøgelser, behandling, udskrivelse/afslutning m.m." NA "" "1" "0" "0" "" "0" "" NA "Ikke med på råd" "8." "8" 33 "pat"
"s_165" "s_165" "Closed" "Single" "9. Var der overensstemmelse mellem det, du fik at vide af forskellige sundhedspersoner?" NA "" "1" "0" "0" "" "0" "" NA "Uoverensstemmende information" "9." "9" 34 "pat"
"s_166" "s_166" "Closed" "Single" "10. Brugte sundhedspersonalet et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?" NA "" "1" "0" "0" "" "0" "" NA "Uforståeligt sprog" "10." "10" 35 "pat"
"s_167" "s_167" "Closed" "Single" "11. Fik du samlet set den mundtlige og skriftlige information fra sygehuspersonalet, du havde behov for?" NA "" "1" "0" "0" "" "0" "" NA "Utilstrækkelig information" "11." "11" 36 "pat"
"s_231" "s_231_1" "Closed" "Multiple" "12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds" "1" "Min behandling blev udsat eller aflyst" "1" "1" "0" "" "0" "" NA "Fejl og utilsigtede hændelser" "12." "12" 37 "pat"
"s_231" "s_231_2" "Closed" "Multiple" "12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds" "2" "Ventetiden til en behandling var meget lang eller behandlingsgarantien blev ikke overholdt" "1" "1" "0" "" "0" "" NA "Fejl og utilsigtede hændelser" "12." "12" 38 "pat"
"s_231" "s_231_3" "Closed" "Multiple" "12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds" "3" "Fejlbehandlet (f.eks. forkert operation/ medicin)" "1" "1" "0" "" "0" "" NA "Fejl og utilsigtede hændelser" "12." "12" 39 "pat"
"s_231" "s_231_4" "Closed" "Multiple" "12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds" "4" "Fejl i min journal eller vigtig information om mit sygdomsforløb manglede" "1" "1" "0" "" "0" "" NA "Fejl og utilsigtede hændelser" "12." "12" 40 "pat"
"s_231" "s_231_5" "Closed" "Multiple" "12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds" "5" "Der opstod alvorlige komplikationer under/efter operation" "1" "1" "0" "" "0" "" NA "Fejl og utilsigtede hændelser" "12." "12" 41 "pat"
"s_231" "s_231_6" "Closed" "Multiple" "12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds" "6" "Andre fejl eller utilsigtede hændelser" "1" "1" "0" "" "0" "" NA "Fejl og utilsigtede hændelser" "12." "12" 42 "pat"
"s_231" "s_231_7" "Closed" "Multiple" "12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds" "7" "Nej, jeg har ikke oplevet fejl eller utilsigtede hændelser" "1" "1" "0" "" "0" "" NA "Fejl og utilsigtede hændelser" "12." "12" 43 "pat"
"s_232" "s_232" "Open" "String" "12. Oplevede du én eller flere af følgende situationer? Sæt gerne flere kryds - Andre fejl eller utilsigtede hændelser - skriv venligst" NA "" "1" "0" "0" "" "0" "" NA "Fejl og utilsigtede hændelser" "12." "12" 44 "pat"
"s_19" "s_19" "Closed" "Single" "13. Har du haft kontakt med din praktiserende læge i forbindelse med din hjertesygdom? " NA "" "1" "0" "0" "" "0" "" NA "Kontakt med egen læge" "13." "13" 45 "pat"
"s_229" "s_229" "Closed" "Single" "13.1 Synes du, at du fik den hjælp og støtte fra din praktiserende læge, som du havde brug for?" NA "" "1" "1" "1" "" "0" "" NA "Utilstrækkelig hjælp fra egen læge" "13.1" "13" 46 "pat"
"s_230" "s_230" "Closed" "Single" "13.2 Oplevede du, at din praktiserende læge var informeret om behandlingen for din hjertesygdom?" NA "" "1" "0" "0" "" "0" "" NA "Egen læge utilstrækkelig informeret" "13.2" "13" 47 "pat"
"s_52" "s_52" "Closed" "Single" "14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke undersøgelser og behandlingsforløb du skulle igennem" NA "" "1" "1" "0" "Hvilke undersøgelser og behandlingsforløb du skulle igennem" "0" "s_52" "1" "Utilstrækkelig information om…" "14." "14" 48 "pat"
"s_52" "s_53" "Closed" "Single" "14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for din fremtid" NA "" "1" "1" "0" "Hvad sygdommen kan betyde for din fremtid" "0" "s_52" "1" "Utilstrækkelig information om…" "14." "14" 49 "pat"
"s_52" "s_184" "Closed" "Single" "14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke fysiske symptomer/reaktioner, du kan opleve som følge af operation eller øvrig behandling af din hjertesygdom" NA "" "1" "1" "0" "Hvilke fysiske symptomer/reaktioner, du kan opleve" "0" "s_52" "1" "Utilstrækkelig information om…" "14." "14" 50 "pat"
"s_52" "s_54" "Closed" "Single" "14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke følelsesmæssige reaktioner (f.eks. symptomer på angst og depression), du kan opleve som følge af din hjertesygdom" NA "" "1" "1" "0" "Hvilke følelsesmæssige reaktioner, du kan opleve" "0" "s_52" "1" "Utilstrækkelig information om…" "14." "14" 51 "pat"
"s_52" "s_186" "Closed" "Single" "14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvilke følelsesmæssige reaktioner (f.eks. symptomer på angst og depression) dine pårørende kan opleve som følge af din hjertesygdom" NA "" "1" "1" "0" "Hvilke følelsesmæssige reaktioner, dine pårørende kan opleve" "0" "s_52" "1" "Utilstrækkelig information om…" "14." "14" 52 "pat"
"s_52" "s_56" "Closed" "Single" "14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? Sæt ét kryds i hver linje - Hvad sygdommen kan betyde for dit forhold til familie, venner m.fl." NA "" "1" "1" "0" "Hvad sygdommen kan betyde for dit forhold til familie, venner m.fl." "0" "s_52" "1" "Utilstrækkelig information om…" "14." "14" 53 "pat"
